Category,Product Name,Emotion,Customer Review
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Happy,Good. runs well and is quite quiet. sturdy and fits a 16 inch laptop
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Happy,"Safe packaging, fast delivery and goods function well"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Happy,"The product is good and the quality is very good. The product reaches consumers in good condition. the price is right, so overall it's very good?"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Happy,"The item has arrived, bro, and it's working. Thank You"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Happy,"great item according to the description, the laptop is cool and cool"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Happy,"I received the product in good condition, thank you ^^"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Happy,"second time shopping, always satisfied. pretty fast delivery. overall very good"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Happy,"Good quality goods, relatively cheap price, super fast delivery, good seller response, recommended seller, 5 stars, thank you, I wish you success in your business, amen ??????."
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Happy,"It's great, the goods are okay"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Happy,"fast delivery, neat packing, good quality"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Happy,silent and good for light work
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Happy,"Items arrived quickly. Good quality and safe delivery, nothing broken. Manstapu ??????"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Happy,"Good, quality, according to the picture. Thank you Seller, Tokped and Courier"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Happy,"Great, the fan is loud, the quality of the goods matches the price"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Happy,Great workmanship and delivery and goods match the description
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Happy,"Great, the fan is loud, the quality of the goods matches the price"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Happy,"The seller is friendly, serves buyers patiently and gives various suggestions that buyers don't know... That's great??????"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Happy,"The goods arrived quickly, the packaging was neat and very good, no parts of the acrylic were broken. works fine. hope it lasts."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Happy,Very precise and fitting
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Happy,"Very satisfied, helpful seller, very responsive and arrived very quickly, recommended..."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Happy,"Great, the response is also satisfying. It has been tried and installed precisely and comfortably. CAs Also responsive"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Happy,"Awesome item, arrived quickly and is easy to use!"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Happy,"Good item, okay, fast delivery too"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Happy,"Fast delivery, responsive seller??"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Happy,"Item works well. The shop owner is very responsive and helpful when there are slight problems. Good luck with your shop, bro??????"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Happy,"Amazing seller... good packaging, fast delivery, the important thing is that the item matches the description and works. Thank You.."
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Sadness,Very disappointed. It's only been 4 months since the scroll was broken.
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Sadness,"ugly, definitely far from original. So the mousepad can't be used when it's on the charger, so it vibrates badly. The item doesn't match the photo, like the item from the stall next door which costs 80 thousand. even though I bought it here before and it was good, exactly like the photo with the indicator on the end of the charger. That's why I ordered here again, even though it was a little expensive, it turned out the goods were not the same as the previous order"
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Sadness,can't use it??
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Sadness,Very disappointed with no luck selling like that
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Sadness,"Disappointed by the seller not taking responsibility for complaints, no solution for days"
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Sadness,"When buying it, first ask which type for the MacBook Pro 13 inch M1, which variation is it, the seller said ""new pro 13"". When it arrived the casing was too small because it turned out to be the wrong type. and the seller uses a lot of excuses and doesn't want to take responsibility even though it's the one who's selling it that's wrong. Disappointed, don't want to buy here anymore, don't be responsible."
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Sadness,The goods took too long to arrive even though they were still in town. Casing comes off easily. Honestly disappointing.
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Sadness,"disappointed shopping at your place, another message was sent??????"
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Sadness,"There are no cleaning wipes, or other tools to install. very disappointed"
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Sadness,"bought the wrong item, but the shop made no compromise at all. Even though the item is still sealed, I'm disappointed..."
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Sadness,Data often errors and is lost??
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Sadness,"Disappointed with this official shop, I don't know why the first order wasn't confirmed until it was canceled by the system because it didn't respond at all. The second order was because I was told to order again from the shop and it was only confirmed but it wasn't sent until there were 10 minutes left before the system canceled it again, but luckily because of the Tokopedia CS chat, the goods were finally sent at the last second. Not only that, the problem is that the new item was picked up by a courier on the 5th and it took more than 2 days for the courier to pick up the item, the delivery process was slow even though it had passed the front of the house only on the 9th at 9pm did the package arrive??"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Sadness,"Packing is minimal, only one layer of bubble plus a layer of plastic, the result is that the item was received broken."
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Sadness,The mic didn't work from the start
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Sadness,"THE SD CARD IS ONLY 29.71 GB, SAID OFFICIAL, BUT IN ACCURATE MKSOFFICIAL. DISAPPOINTED, THIS IS NOT ORIGINAL."
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Sadness,Speed ????oes not match the description
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Sadness,not working
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Sadness,"The mouse is not good, the pointer moves by itself."
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Sadness,The infrared is bad and likes to go everywhere
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Sadness,The battery is not the right size and there is no nano receiver.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Sadness,wastes battery
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Sadness,item error 1
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,"the network is really slow, it's better to use indihome de, I regret buying network orbit, it's really bad,"
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,not according to expectations
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,slow
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,He said he got a 150 GB package but after registration it was 300 mB...
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,"Can't register in the call center And the Orbin team isn't helpful, just to ask for information about which Orbin outlets are open And the telephone numbers, they tell me to search on Google, instead of not wanting to search, the average telephone number can't be contacted, so what's the harm in providing valid information, sorry I bought an orbit call center And the Orbin team is not helpful, To just ask for information about the Orbin outlets that are open, and the telephone number, I'm told to search on Google, instead of not wanting to search, the average telephone number can't be contacted, so what's wrong with providing valid information, sorry I bought Orbit"
Computers and Laptops,Telkomsel Orbit Star 2,Sadness,It is not in accordance with
Computers and Laptops,SSD 256GB RX7 SATA,Sadness,"promise we can send it immediately because we want to use it immediately, in fact you close the shop before you send it. package arrived tonight. When I tried it the next day, it turned out that the SSD couldn't be read. and said send it to the shop so they can send a new one immediately. Same in Tangerang, the instant Gojek fare is 33 thousand, which means it's close. and it wasn't sent until 2 weeks before it was sent. It really looks like it's been on purpose for a long time. It's very unprofessional to sell online, you're selling damaged goods and there's no etiquette for saying sorry. and in closing, what I consider cunning and very stingy is that we are told to take responsibility for shipping when the goods arrive. If you look at it like this, forget about the guarantee that the product will be replaced with a new one if it is damaged in the future..."
Computers and Laptops,SSD 256GB RX7 SATA,Sadness,"bought 2 SSD, 1 received in damaged condition"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Sadness,"it doesn't work, but oh well, after adding power, using the micro USB charger, the cellphone still doesn't work"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Sadness,not good... plug in external hard disk not detected...
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Sadness,"it doesn't work, but oh well, after adding power, using the micro USB charger, the cellphone still doesn't work"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Sadness,"The product is not good, and is damaged"
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Sadness,"As for the quality, it turns out it's the same as other Chinese brands, 1080p which also costs around 300 thousand, even better than other brands at around 600 thousand. Then the delivery was very slow from the official store, ordered on the 27th, arrived on the 1st, so I didn't have time to use it at the Zoom meeting and had to use my cellphone. quite disappointed with Logitech products and services. As for the keyboard and mouse, some of the models are quite good, but I'm reluctant to buy here because the goods will only be processed a few hours before being canceled even if the order is on a weekday."
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Sadness,"Delivery 2 days late. even though it said it would be sent immediately. After ordering, direct chat didn't respond. For an official store for a brand as big as Logitech, it's really disappointing."
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Sadness,the mouse is less responsive. So you have to sign quite forcefully
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Sadness,"I've only used it for 2 months, the sensor is already bad and likes to go everywhere"
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Sadness,Very disappointed. It's only been 4 months since the scroll was broken.
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Sadness,"It's been less than 1 month and it doesn't turn on, I've replaced the battery but it still doesn't turn on. Disappointed, I've had it done twice by Logitech"
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Anger,"Very disappointing, the goods sent did not match the confirmation, so I had to go back and forth twice, I had to pay 6 x shipping costs.... VERY DISAPPOINTING"
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Anger,"The quality of the charger is really bad, after only three days of use it is already damaged"
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Anger,"Poor shop service, slow processing of goods, no response to chat, average goods"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Anger,"Damaged goods, no use at all... Serious"
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Anger,"It breaks quickly, sometimes it connects, sometimes it doesn't"
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Anger,"item didn't take long to arrive, box was dented"
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Anger,"AFTER CHECKED THE 32GB WAS NOT COMPLETE. HOW CAN THAT BE???!!.. WHERE IS THE REST OF THE 3GB, Mister/MBA??? BECAUSE YOU NEED IT, SO JUST JUST BUY IT HERE. FIRST AND LAST BUY HERE."
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Anger,My order DID NOT ARRIVE TO THE ADDRESS!!! I WANT MY MONEY BACK!! I HAVE NOT RECEIVED MY ORDER
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Anger,"buy new packaging, send old packaging! 1 STAR CON%TL"
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Anger,"THE DOG IS TURNED TO BE A FAKE, THIS IS A BASTARD ITEM, BEWARE OF BEING DECEIVED OI, THE ORIGINAL HAS A DISTRIBUTOR'S SEAL"
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Anger,DON'T BUY ITEMS HERE
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Anger,bad
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Anger,"boring stuff! Once I used it, it was damaged.. If I wanted to claim it, the admin answered in a complicated way"
Computers and Laptops,Telkomsel Orbit Star 2,Anger,"Chat was not answered, the promised quota of 50 GB was not received, it was destroyed very badly"
Computers and Laptops,Xiaomi Mi Wifi Wireless Extender Pro Repeater Amplifier R03 Original,Anger,IT WASN'T GIVEN A FLAT ADAPTER. I'M DECEIVED
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Anger,"If I use it a day, it's already broken :( Quality control is correct, please"
Computers and Laptops,SSD 256GB RX7 SATA,Anger,"What's this, the SSD can't be used... I asked for a replacement..."
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Anger,"It's expensive to buy, but it often blurs when you use zoom. keep contacting the CS, just tell them to claim the warranty, ask for an address and don't give them. hadeuhh, 1 million webcams are trash quality."
Computers and Laptops,Vention High Speed USB 3.0 Hub for Windows Mac Linux - CHK 0.15 Meter,Anger,doesn't match the picture.... Don't believe this seller is a fraud..... bad quality.....
Computers and Laptops,Laptop Stand Holder Lipat Adjustable Anti Slip Portable Untuk Laptop,Anger,"Please have a sense of responsibility for delivery, this package has been swimming in a sewage system and I'm not sure whether the contents can still be used or whether it's in the rubbish bin."
Computers and Laptops,Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam,Anger,l2 r2 trigger is like ***
Computers and Laptops,"Samsung MicroSD Evo Plus 32GB 64GB 128GB 256GB 512GB 1TB Memory card - 64 gb, MicroSD Only",Anger,Bad
Computers and Laptops,"SPC Monitor Komputer LED 19 inch HD, Garansi Resmi",Anger,"This GARBAGE item should not be sent to my address, but instead in the TRASH CAN. Very DISAPPOINTING, admin DID NOT RESPOND TO MY CHAT AT ALL. Look at the item that was sent, there are dead pixels, THEN THE MONITOR SCREEN IS BACK. VERY DISAPPOINTING. Note for friends who want to buy, this monitor does not have audio/speakers, the screen quality is also not good. If you have more luck, buy a good brand. I REALLY REGRET SHOPPING HERE. I DO NOT RECOMMEND SHOPPING HERE."
Computers and Laptops,Prolink PRT7011L Portable 4G LTE Modem WiFi Mifi Hotspot - Plus PTC21801,Anger,"It would be dishonest and visible to force an item to be sold. The goods sent did not match the order. And in the end the buyer is asked to send the item without any solution as to whether it is available or not, with the risk that the item in the photo/offer may not actually exist."
Computers and Laptops,Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI - Hitam,Anger,"Bought on the 9th. Order completed on the 12th and.... the mouse was broken on the 13th and can't complain from Toped anymore. Admin was asked how to claim a warranty. VERY NOT HELPING, chat today, reply tomorrow, no reply no more"
Computers and Laptops,Digital Aliance Keyboard Gaming Meca Warrior X RGB - Hitam,Anger,"I BOUGHT THE V2, ON THE DESC THERE WAS NO EXPLANATION ABOUT THE VERSION, THE V1 WAS GOOD MOREOVER THE RGB, THE RGB V2 WAS REALLY JUST RED GREEN BLUE THE REST OF THE COLOR, THERE WAS A SWITCH PULLER, THE RGB GADAPET WAS DIM, THERE WAS NO NOTICE ABOUT THE KEYBOARD VERSION REALLY DISAPPOINTED, KAPOK TO BUY IT AND TAKE IT ae v*rt*x v7 is better than this, disappointed I want to sell it again anyway"
Computers and Laptops,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button - Putih,Anger,"Shopping from the Official Store, the condition of the goods received is like trash and junk. Thank You."
Computers and Laptops,Rexus Mouse Wireless Gaming Avenger 110 - Perak,Anger,It's really funny to order a mouse but it's not complete. There is no battery cover or Bluetooth
Computers and Laptops,Mouse Gaming HP M150 - 1600DPI USB Wired Macro Programmable - Hitam,Anger,The original price of the item is around 55 thousand but the seller is pretending to make a discount from 99 thousand to a discount of 59 thousand. The online shop is really tough
Computers and Laptops,RAM KINGSTON HYPERX FURY GAMING DDR3 8GB 1600MHz 12800 RAM PC DDR3 8GB,Anger,"I bought the wrong one and couldn't exchange it. When I tried it, it turned out it didn't work. When I asked what the warranty claim was, the reply was a bot. tai"
Computers and Laptops,KUKE KLS-808 Meja Lipat Laptop /Meja laptop lipat/Oxy Folding Table - Hitam,Anger,"very dissatisfied, both the product and the service, the item is defective, in my closed condition, the table can't close tightly, that's because the hinges are not installed parallel (1 high, 1 short, this is what caused the list to tear, because it was forced when closing the table top. So the fix is ???? factory defect, not a delivery problem. And it turns out the seller didn't accept the complaint, told me to contact the courier myself."
Computers and Laptops,KUKE KLS-808 Meja Lipat Laptop /Meja laptop lipat/Oxy Folding Table - Hitam,Anger,Poor quality of goods. the bolt keeps coming off
Computers and Laptops,"RB - C78 Meja Laptop Lipat Portable Meja Belajar Anak Multifungsi Anti - POLOS, 03",Anger,LOTS OF DAMAGE AND SCRATCHES!!!!
Computers and Laptops,USAMS Memory Card MicroSD CLASS 10 4gb 8gb 16gb 32gb 64gb - 4 gb,Anger,"ordered 2 items which arrived 1 paid the price 2 which arrived 1 thank you... don't have to prove it, just check the release of the goods - then check the buyer, don't ask the buyer who asked questions, unboxing isn't that important after all in the quota"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard untuk smart tv TV Box - TANPA BUBBLE,Anger,"the keyboard doesn't turn on at all even though the battery has only been tried a few times, it doesn't work, it's cheaper than other shops, the goods don't work the same, it's a lie"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard untuk smart tv TV Box - TANPA BUBBLE,Anger,damaged goods sent
Computers and Laptops,"AONEZ Meja komputer lipat multifungsi, meja komputer portabel - B",Anger,"This isn't true, what should have arrived was a complete table, instead the bolts weren't installed, and the bolts were really small... do you want to glue them?? This is ridiculous ******!"
Computers and Laptops,Razer Hammerhead Pro V2,Anger,"the driver is crazy, not the shop. item ok. that's smart, it's called puffy. I'm happy to comment too. the only star is for the driver. *****"
Computers and Laptops,Windows 10 Pro Original Lisensi - INVOICE,Anger,"I'm disappointed. There's no solution. In chat kg in bls on wa kg in bls. just run away, trash."
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Anger,"Wrong item was sent, ordered a Logitech webcam at Logitech official, but JBL headphones were sent! And exchanging goods takes 4 working days! It's really long"
Toys and Hobbies,"500 butir bola gotri 8mm ketapel bola besi - 8mm, 500 butir",Happy,"the item fits, is good and arrived quickly"
Toys and Hobbies,"500 butir bola gotri 8mm ketapel bola besi - 8mm, 500 butir",Happy,great product????
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,Happy,the goods have arrived. good stuff... According to the product description.
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,Happy,appropriate rubber size. Nice...?? and the delivery time is faster than schedule... that's great... is the best..??
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Happy,fast delivery.. goods in good condition.. thanks?
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Happy,"Item as ordered, working condition. Responsive seller, fast delivery process. Recommended!!!"
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Happy,the stuff is good!! Good Product Quality. Affordable prices!. Recommended.
Toys and Hobbies,"MAINAN EDUKATIF ANAK MERONCE MANIK KELERENG MUTIARA, 750PCS PROMO! - CRYSTAL",Happy,"when it arrived, packing okay, suitable as a gift, is there a coin wallet bonus??"
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Happy,Can throw far. According to the product description. Always ready stock!. Packing neat??.
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Happy,"Good item as expected, the pouch is quite good. Seller service is ok, thank you, item as advertised"
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Happy,"Fast delivery, good item, well packaged, thank you"
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Happy,Good Product Quality. Good material. Affordable prices!. Recommended.
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Happy,Good Product Quality. Good material. Recommended. Affordable prices!.
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Happy,"Just ordered it straight away, the seller is friendly, the Beyblade spins fast and the price is also cheaper than other shops"
Toys and Hobbies,UNO Card,Happy,The card is complete. Competitive Prices. What a fun game!
Toys and Hobbies,UNO Card,Happy,The cards are complete. What a fun game! Competitive Prices
Toys and Hobbies,UNO Card,Happy,"Thank you, order is correct"
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",Happy,The card is complete. good packing. latest model. ready stock.
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",Happy,item according to description. fast delivery. recommended seller.
Toys and Hobbies,The Werewolf Game / Mafia Game (TWG) - White Edition,Happy,"Very high quality goods commensurate with the price, lots of equipment, already got a bag, clear instructions and a thick moderator's book. The card box is also thick. Great"
Toys and Hobbies,The Werewolf Game / Mafia Game (TWG) - White Edition,Happy,"Great bro, the item landed smoothly. Card okay. The cast is complete too. There are guidebooks and notebooks for moderators. Thanks bro."
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Happy,"nice card, as expected, real plastic. slippery . and I think it will last"
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Happy,Item works well. Safe packaging??. Safe packaging??. Is the item original??
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Happy,good and very long lasting
Toys and Hobbies,Kartu Remi Plastik Anti Air Waterproof - Black - Biru,Happy,The package has been received well according to the order... the response and process is fast... the packaging is also neat and safe... thanks bro??
Toys and Hobbies,Kartu Remi Plastik Anti Air Waterproof - Black - Biru,Happy,Is the item original?? Safe packaging??.
Toys and Hobbies,Kartu Remi Plastik Anti Air Waterproof - Black - Biru,Happy,It's really good to get a promo so you only pay IDR 200 which is great
Toys and Hobbies,Kartu Remi Plastik Anti Air Waterproof - Black - Biru,Happy,"good stuff, not easy to tear, plastic material....."
Toys and Hobbies,Kartu remi tahan air ukuran 6.3 x 8.8 cm,Happy,"Cool, the playing cards have arrived. The packaging is safe??"
Toys and Hobbies,Kartu remi tahan air ukuran 6.3 x 8.8 cm,Happy,Safe packaging??. Item works well.
Toys and Hobbies,Kartu remi tahan air ukuran 6.3 x 8.8 cm,Happy,Item works well. Safe packaging??.
Toys and Hobbies,POP IT MURAH RAINBOW UNICORN fidget push Pop Its Fidget Toy Push POPIT - UNICORN RAINBOW,Happy,good quality goods at low prices
Toys and Hobbies,Kartu remi tahan air ukuran 6.3 x 8.8 cm,Happy,fast delivery and safe packing... get flash sale price....
Toys and Hobbies,GOLD FOIL KARTU REMI POKER ANTI AIR WATERPROOF KOLEKTOR CARD,Happy,"I bought 3, thank God, the goods arrived at their destination and were very satisfying"
