Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Customer Review (English)
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,"When buying it, first ask which type for the MacBook Pro 13 inch M1, which variation is it, the seller said ""new pro 13"". When it arrived the casing was too small because it turned out to be the wrong type. and the seller uses a lot of excuses and doesn't want to take responsibility even though it's the one who's selling it that's wrong. Disappointed, don't want to buy here anymore, don't be responsible."
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,The goods took too long to arrive even though they were still in town. Casing comes off easily. Honestly disappointing.
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,"disappointed shopping at your place, another message was sent??????"
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,"There are no cleaning wipes, or other tools to install. very disappointed"
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,"bought the wrong item, but the shop made no compromise at all. Even though the item is still sealed, I'm disappointed..."
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5,2215,1010,1,Data sering error dan hilang ??,Negative,Sadness,Data often errors and is lost??
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,"Disappointed with this official shop, I don't know why the first order wasn't confirmed until it was canceled by the system because it didn't respond at all. The second order was because I was told to order again from the shop and it was only confirmed but it wasn't sent until there were 10 minutes left before the system canceled it again, but luckily because of the Tokopedia CS chat, the goods were finally sent at the last second. Not only that, the problem is that the new item was picked up by a courier on the 5th and it took more than 2 days for the courier to pick up the item, the delivery process was slow even though it had passed the front of the house only on the 9th at 9pm did the package arrive??"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,"Packing is minimal, only one layer of bubble plus a layer of plastic, the result is that the item was received broken."
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,The mic didn't work from the start
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,"THE SD CARD IS ONLY 29.71 GB, SAID OFFICIAL, BUT IN ACCURATE MKSOFFICIAL. DISAPPOINTED, THIS IS NOT ORIGINAL."
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,Speed ​​does not match the description
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,not working
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness,"The mouse is not good, the pointer moves by itself."
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,The infrared is bad and likes to go everywhere
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,The battery is not the right size and there is no nano receiver.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,wastes battery
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,item error 1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,"the network is really slow, it's better to use indihome de, I regret buying network orbit, it's really bad,"
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,not according to expectations
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,slow
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Negative,Sadness,He said he got a 150 GB package but after registration it was 300 mB...
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Negative,Sadness,"Can't register in the call center And the Orbin team isn't helpful, just to ask for information about which Orbin outlets are open And the telephone numbers, they tell me to search on Google, instead of not wanting to search, the average telephone number can't be contacted, so what's the harm in providing valid information, sorry I bought an orbit call center And the Orbin team is not helpful, To just ask for information about the Orbin outlets that are open, and the telephone number, I'm told to search on Google, instead of not wanting to search, the average telephone number can't be contacted, so what's wrong with providing valid information, sorry I bought Orbit"
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Tidak sesuai,Negative,Sadness,It is not in accordance with
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Negative,Sadness,"promise we can send it immediately because we want to use it immediately, in fact you close the shop before you send it. package arrived tonight. When I tried it the next day, it turned out that the SSD couldn't be read. and said send it to the shop so they can send a new one immediately. Same in Tangerang, the instant Gojek fare is 33 thousand, which means it's close. and it wasn't sent until 2 weeks before it was sent. It really looks like it's been on purpose for a long time. It's very unprofessional to sell online, you're selling damaged goods and there's no etiquette for saying sorry. and in closing, what I consider cunning and very stingy is that we are told to take responsibility for shipping when the goods arrive. If you look at it like this, forget about the guarantee that the product will be replaced with a new one if it is damaged in the future..."
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",Negative,Sadness,"bought 2 SSD, 1 received in damaged condition"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"it doesn't work, but oh well, after adding power, using the micro USB charger, the cellphone still doesn't work"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,kurang bagus... colok hardisk external tdk terdeteksi..,Negative,Sadness,not good... plug in external hard disk not detected...
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"it doesn't work, but oh well, after adding power, using the micro USB charger, the cellphone still doesn't work"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Jakarta Utara,56000,4.8,18300,5431,1,"Produk kurang baik, dan rusak",Negative,Sadness,"The product is not good, and is damaged"
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",Negative,Sadness,"As for the quality, it turns out it's the same as other Chinese brands, 1080p which also costs around 300 thousand, even better than other brands at around 600 thousand. Then the delivery was very slow from the official store, ordered on the 27th, arrived on the 1st, so I didn't have time to use it at the Zoom meeting and had to use my cellphone. quite disappointed with Logitech products and services. As for the keyboard and mouse, some of the models are quite good, but I'm reluctant to buy here because the goods will only be processed a few hours before being canceled even if the order is on a weekday."
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Negative,Sadness,"Delivery 2 days late. even though it said it would be sent immediately. After ordering, direct chat didn't respond. For an official store for a brand as big as Logitech, it's really disappointing."
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,848,1,mousenya kurang responsif. jd harus teken agak kuat,Negative,Sadness,the mouse is less responsive. So you have to sign quite forcefully
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,848,1,baru pake 2 bulan sensornya udah jelek suka kemana2,Negative,Sadness,"I've only used it for 2 months, the sensor is already bad and likes to go everywhere"
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,5559,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,Very disappointed. It's only been 4 months since the scroll was broken.
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,5559,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Negative,Sadness,"It's been less than 1 month and it doesn't turn on, I've replaced the battery but it still doesn't turn on. Disappointed, I've had it done twice by Logitech"
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Jakarta Pusat,230000,4.9,1408,721,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",Negative,Anger,"Very disappointing, the goods sent did not match the confirmation, so I had to go back and forth twice, I had to pay 6 x shipping costs.... VERY DISAPPOINTING"
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,1,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",Negative,Anger,"The quality of the charger is really bad, after only three days of use it is already damaged"
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,1,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Negative,Anger,"Poor shop service, slow processing of goods, no response to chat, average goods"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,1,"Barang Rusak , Ga Guna Sama Sekali ... Parah",Negative,Anger,"Damaged goods, no use at all... Serious"
